,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
P55058,6239.847345,6178.84941,33858.61543,36476.55175,5864.504385,310.66637,1772.291552,294.686113,477.2496454,154.8894246
Q15063,1134790.847,239854.9048,580515.8898,960695.4055,1370686.93,126383.9079,580599.489,155352.4581,286066.7813,38693.65585
O00391,4793.685366,8308.67463,6123.919648,16056.9765,2828.532358,133.8798234,3454.148927,716.998256,350.6697952,557.598149
P35542,45289.24477,32079.31195,40773.91943,110344.1235,16058.75093,1219.613301,3921.224959,1005.742384,3093.10073,1974.22541
P24821,75943.9431,33051.90695,276150.3628,1095385.348,126685.4002,29058.9734,147239.1014,38101.21555,62235.92105,9598.82865
P07996,57936.23085,21557.84767,111396.2924,75552.21305,78519.0996,6005.60379,11684.44859,4611.023038,4674.530017,606.754772
P35442,95578.4038,100421.5918,104859.9972,99856.1547,161271.4957,5276.160047,14607.6509,913.0644308,5185.11843,4895.04061
P19971,1861.837157,2067.392794,5643.503525,8050.946145,2359.101489,490.1339732,2216.92393,355.991235,660.099474,185.3518853
P04004,1121895.496,1884124.58,1480054.025,2165625.51,615225.8165,96219.25937,192585.7794,55836.6781,257846.0438,142910.8933
A0FGR8,5358.03104,2839.717493,628.0920433,4271.570687,3354.99828,1083.394761,4613.833701,1281.368898,2614.309088,1373.857929
A5A3E0,38274.30304,27563.21373,17993.42994,38433.99005,41940.35106,12016.8151,30164.97677,13125.8704,23194.34528,7594.521088
O00151,33837.27083,13743.54215,12243.6554,20750.16217,38801.88513,12505.99444,51436.9344,23178.38287,35773.464,22155.32225
O00159,53578.50505,38916.8855,26247.16303,55615.65605,53967.0658,16249.65758,50008.65965,21022.60048,55263.8168,13801.53094
O00244,2620.876832,793.2344353,965.7274065,4160.525547,3076.522647,749.5424658,2137.442182,736.846768,2039.659753,717.3359142
O00299,22962.87964,15168.23712,17583.04182,57717.1503,21208.68863,5625.249578,16490.14023,7522.267063,15277.31756,5717.912085
O00764,2505.92123,1567.677088,1590.655377,2487.585824,731.716111,250.8892355,1239.816793,260.2717128,735.822893,420.3635347
O14558,37611.80441,25665.50906,14730.93064,19311.87575,39487.04764,11762.52577,60127.34755,17451.84057,42842.09944,20510.19347
O14773,2347.740412,1191.679568,2140.874613,18146.506,2851.824989,705.3792657,5677.14825,1229.571339,1990.131868,906.0338043
O14818,6043.296415,2336.503342,1725.183397,13594.8637,8935.47643,3036.354982,6046.130835,3641.065985,4996.766728,1777.882378
O14974,10433.75707,6409.89075,5183.619885,14115.92995,7089.43708,3750.154115,13427.08312,5047.148895,9586.873375,4478.827397
O15061,6461.924625,4170.552477,2372.568441,2011.399472,15818.45097,8389.228833,29683.17209,11224.06776,25414.81972,10916.20725
